race_slug,label,distance_km,elevation_gain_m,itra_points,price,currency,gpx_url
bodrun-ultra-maratonu,60K,60.0,,,,,https://www.bodrun.org/Assets/img/23894Bodrum 60K.gpx
bodrun-ultra-maratonu,34K,34.0,,,,,https://www.bodrun.org/Assets/img/26405BodRUN  Herodot 34km.gpx
bodrun-ultra-maratonu,22K,22.0,,,,,https://www.bodrun.org/Assets/img/20462BodRUN Leleg 22km.gpx
bodrun-ultra-maratonu,10K,10.0,,,,,https://www.bodrun.org/Assets/img/27127BodRUN Halikarnas 10km.gpx
bodrun-ultra-maratonu,5K,5.0,,,,,https://www.bodrun.org/Assets/img/24428BodRUN 5km .gpx
iznik-ultra-maratonu,160K,165.1,4740,,,,
iznik-ultra-maratonu,90K,88.1,2780,,,,
iznik-ultra-maratonu,75K,76.6,1967,,,,
iznik-ultra-maratonu,50K,49.0,1560,,,,
iznik-ultra-maratonu,25K,24.5,340,,,,
iznik-ultra-maratonu,14K,14.0,,,,,
iznik-ultra-maratonu,5K,5.0,,,,,
salomon-cesme-yari-maratonu,21K,21.1,188,,,,https://cesmeyarimaratonu.com/tr/events/download/1
salomon-cesme-yari-maratonu,10K,10,91,,,,https://cesmeyarimaratonu.com/tr/events/download/4
salomon-cesme-yari-maratonu,5K,5,35,,,,
efeler-yolu-ultra-trail,100K,95.29,4416,4,,,https://www.efeleryoluultratrail.com/tr/events/download/17
efeler-yolu-ultra-trail,80K,82.33,3689,4,,,https://www.efeleryoluultratrail.com/tr/events/download/4
efeler-yolu-ultra-trail,50K,50,2745,3,,,https://www.efeleryoluultratrail.com/tr/events/download/5
efeler-yolu-ultra-trail,30K,30,1375,2,,,https://www.efeleryoluultratrail.com/tr/events/download/6
efeler-yolu-ultra-trail,15K,15,578,,,,https://www.efeleryoluultratrail.com/tr/events/download/15
efeler-yolu-ultra-trail,5K,5,115,,,,https://www.efeleryoluultratrail.com/tr/events/download/16
ultra-sumela,61K,61,1900,3,,,
ultra-sumela,22K,22,1050,1,,,
ultra-sumela,10K,10,400,,,,
uludag-premium-ultra-trail,70K,73,3661,,,,https://uludagultra.com/Route2025/UPUT70K.gpx
uludag-premium-ultra-trail,42K,44,2353,,,,https://uludagultra.com/Route2025/UPM42K.gpx
uludag-premium-ultra-trail,30K,30,1510,,,,https://uludagultra.com/Route2025/UPE30K.gpx
uludag-premium-ultra-trail,16K,16,500,,,,https://uludagultra.com/Route2025/UP16K.gpx
uludag-premium-ultra-trail,6K,6,210,,,,https://uludagultra.com/Route2025/UP6K.gpx
bucovina-ultra-rocks-by-utmb,114K,114,7000,,,,
bucovina-ultra-rocks-by-utmb,72K,72,4600,,,,
bucovina-ultra-rocks-by-utmb,48K,48,3200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1754572589/bucovina/Races/OFFICIAL%20RACE%20GPX/Lady_s_Rocks_48k_by_2026_d5d751fe79.gpx
bucovina-ultra-rocks-by-utmb,33K,33,2000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1754762660/bucovina/Races/OFFICIAL%20RACE%20GPX/Rocky_33k_by_2026_3447b363e6.gpx
bucovina-ultra-rocks-by-utmb,20K,20,1100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1754572589/bucovina/Races/OFFICIAL%20RACE%20GPX/Radical_21k_by_2026_4c71129285.gpx
bucovina-ultra-rocks-by-utmb,16.5K,16.5,700,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1757341940/bucovina/Races/OFFICIAL%20RACE%20GPX/Rumble_Rock_16k_new_26_2_63e6cb2dd5.gpx
bucovina-ultra-rocks-by-utmb,5K,5,550,,,,
evden-bi-kosu-iznik,10K,10.0,,,,,
quito-trail-ecuador-by-utmb,76K,76,4400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1784131122/quito/2026/Ruta/Finals/UTMB_QT_80_K_OSO_2026_ae3c1e96c7.gpx
quito-trail-ecuador-by-utmb,53K,53,2800,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1784131118/quito/2026/Ruta/Finals/UTMB_QT_50_K_NUTRIA_2026_90ad7076ae.gpx
quito-trail-ecuador-by-utmb,31K,31,1600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1784131108/quito/2026/Ruta/Finals/UTMB_QT_30_K_TUCAN_2026_feddde7bd9.gpx
quito-trail-ecuador-by-utmb,20K,20,1000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1784131107/quito/2026/Ruta/Finals/UTMB_QT_20_K_QUINDE_2026_f4cb736764.gpx
quito-trail-ecuador-by-utmb,13K,13,850,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1784131103/quito/2026/Ruta/Finals/UTMB_QT_12_K_HUMBOLDT_2026_72f65700e2.gpx
quito-trail-ecuador-by-utmb,6.5K,6.5,300,,,,
gauja-trail-by-utmb,91K,91.0,2200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1784816180/gauja/Final%20GPX%2023/Gauja_90k_2100_2307_d633c2dafa.gpx
gauja-trail-by-utmb,53K,53.0,1200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1784816179/gauja/Final%20GPX%2023/Gauja_53k_1200_2307_cd95df5ad7.gpx
gauja-trail-by-utmb,21K,21.0,500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1784816179/gauja/Final%20GPX%2023/Gauja_21k_550_2307_e67dcba24d.gpx
gauja-trail-by-utmb,13.5K,13.5,300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1784816178/gauja/Final%20GPX%2023/Gauja_13k_300_2307_a53b0d23f1.gpx
gauja-trail-by-utmb,6K,6.0,100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1775240686/gauja/New%20Courses/Gauja_1_6k_30_0204_9a7f7121d5.gpx
gauja-trail-by-utmb,1.6K,1.6,30,,,,
konya-ultra-trail,74K,74,3146,,,,
konya-ultra-trail,55K,55,2106,,,,
konya-ultra-trail,30K,30,1382,,,,
konya-ultra-trail,16K,16,646,,,,
konya-ultra-trail,5K,5,148,,,,
korfez-10k-kiraz-kosusu-ve-spor-festivali,10K,10,,,,,
kat100-by-utmb,169K,169,9000,,,,
kat100-by-utmb,75K,75,4100,,,,
kat100-by-utmb,51K,51,3250,,,,
kat100-by-utmb,24K,24,1650,,,,
kat100-by-utmb,8K,8,250,,,,
borealys-mont-tremblant-by-utmb,81K,81.0,4020,,,,
borealys-mont-tremblant-by-utmb,46.4K,46.4,2612,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1785198357/borealys/Races/2026%20GPX/FINAUX/50k_Tremblante_24_07_2026_63985d5347.gpx
borealys-mont-tremblant-by-utmb,26.6K,26.6,1645,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1785198355/borealys/Races/2026%20GPX/FINAUX/20k_25km_La_Diable_27_07_2026_dfec0d7202.gpx
borealys-mont-tremblant-by-utmb,14.5K,14.5,896,,,,
borealys-mont-tremblant-by-utmb,5.8K,5.8,379,,,,
bogazici-triatlonu,Yaş Grubu Triatlon,52.2,,,,,
ultra-abant,60K,60,,,,,
ultra-abant,34K,34,,,,,
ultra-abant,18K,18,,,,,
ultra-abant,6K,6,,,,,
eskisehir-yari-maratonu,21K,21,,,1000.0,TRY,
eskisehir-yari-maratonu,10K,10,,,500.0,TRY,
eskisehir-yari-maratonu,5K,5,,,,,
runfire-salt-lake,100 Mil,160.9,,4,,,
runfire-salt-lake,80K,80,,2,,,
runfire-salt-lake,40K,40,,1,,,
runfire-salt-lake,20K,20,,,,,
runfire-salt-lake,15K,15,,,,,
runfire-salt-lake,10K,10,,,,,
ultra-trail-whistler-by-utmb,100K,100,5100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1787129088/whistler/GPX%20FILES/2026/2026_UT_Whistler_100_K_Athlete_1040ee5430.gpx
ultra-trail-whistler-by-utmb,50K,50,3200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1776445313/whistler/GPX%20FILES/2026/2026_UT_Whistler_50_K_v1_60ef2dcbf6.gpx
ultra-trail-whistler-by-utmb,12K,12.0,550,,,,
davraz-sky-run,25K,25,,,,,
davraz-sky-run,10K,10,,,,,
bogazici-kitalararasi-yuzme-yarisi,6.5K,6.5,,,,,
gomec-ataturk-yol-kosusu,10K,10,,,,,
gran-fondo-baskent,Uzun Parkur,90.61,1237,,,,
gran-fondo-baskent,Paralimpik,56.6,1096,,,,
gran-fondo-baskent,Kısa Parkur,56.6,1096,,,,
gran-fondo-baskent,Tandem,56.6,1096,,,,
yesilay-yari-maratonu,10K,10,,,,,
hoka-utmb-mont-blanc,174K,174.0,9900,,,,
hoka-utmb-mont-blanc,145K,145.0,9500,,,,
hoka-utmb-mont-blanc,101K,101.0,6050,,,,
hoka-utmb-mont-blanc,60K,60.0,3500,,,,
hoka-utmb-mont-blanc,40K,40.0,2350,,,,
hoka-utmb-mont-blanc,15K,15.0,1200,,,,
kocaeli-ultra-trail,50K,50.0,1583,2,1000.0,TRY,https://www.kocaeliultra.com/Kocaeli-ultra-2026-50K.zip#KOCAELÿ 50 K - GÜNCEL CP VE KM.gpx
kocaeli-ultra-trail,15K,15.0,550,,1000.0,TRY,https://www.kocaeliultra.com/Kocaeli-ultra-2026-15K.zip#15 K CP- KM.gpx
canakkale-bogazi-yuzme-yarismasi,6.5K,6.5,,,,,
canakkale-bogazi-yuzme-yarismasi,Boğaz geçişi,4.5,,,,,
sydney-maratonu,42K,42.0,313,,,,
egrekkaya-ultra-trail,36K,36.0,,,3250.0,TRY,https://kizilcahamamegrekkayatrail.com/wp-content/uploads/2026/08/COURSE_499207958.gpx
egrekkaya-ultra-trail,18K,18.0,,,2750.0,TRY,https://kizilcahamamegrekkayatrail.com/wp-content/uploads/2026/06/COURSE_455114768.gpx
egrekkaya-ultra-trail,12K,12.0,,,2500.0,TRY,https://kizilcahamamegrekkayatrail.com/wp-content/uploads/2026/06/COURSE_454299432.gpx
egrekkaya-ultra-trail,11K,11.0,,,2000.0,TRY,https://kizilcahamamegrekkayatrail.com/wp-content/uploads/2026/08/COURSE_509288573.gpx
egrekkaya-ultra-trail,6K,6.0,,,2000.0,TRY,https://kizilcahamamegrekkayatrail.com/wp-content/uploads/2026/06/COURSE_455086904.gpx
istanbul-ultra,60K,60.0,1380,,,,https://istanbulultra.com.tr/files/assets/rotalar/60k.gpx
istanbul-ultra,30K,30.0,620,,,,https://istanbulultra.com.tr/files/assets/rotalar/30k.gpx
istanbul-ultra,15K,15.0,280,,,,https://istanbulultra.com.tr/files/assets/rotalar/15k.gpx
