slug,name,start_date,end_date,page_url,distances_km
bodrun-ultra-maratonu,BODRUN Ultra,2026-02-15,2026-02-15,https://yarisradari.com/yaris/bodrun-ultra-maratonu,60.0;34.0;22.0;10.0;5.0
iznik-ultra-maratonu,İznik Ultra Maratonu,2026-04-10,2026-04-12,https://yarisradari.com/yaris/iznik-ultra-maratonu,165.1;88.1;76.6;49.0;24.5;14.0;5.0
salomon-cesme-yari-maratonu,Salomon Çeşme Yarı Maratonu,2026-05-09,2026-05-10,https://yarisradari.com/yaris/salomon-cesme-yari-maratonu,21.1;10.0;5.0
efeler-yolu-ultra-trail,Efeler Yolu Ultra-Trail,2026-05-16,2026-05-17,https://yarisradari.com/yaris/efeler-yolu-ultra-trail,95.29;82.33;50.0;30.0;15.0;5.0
ultra-sumela,Ultra Sümela,2026-06-06,2026-06-06,https://yarisradari.com/yaris/ultra-sumela,61.0;22.0;10.0
oyak-65-yil-kosusu,Oyak 65. Yıl Koşusu,2026-06-14,2026-06-14,https://yarisradari.com/yaris/oyak-65-yil-kosusu,
uludag-premium-ultra-trail,Uludağ Ultra Trail,2026-07-18,2026-07-19,https://yarisradari.com/yaris/uludag-premium-ultra-trail,73.0;44.0;30.0;16.0;6.0
bucovina-ultra-rocks-by-utmb,Bucovina Ultra Rocks by UTMB,2026-07-24,2026-07-26,https://yarisradari.com/yaris/bucovina-ultra-rocks-by-utmb,114.0;72.0;48.0;33.0;20.0;16.5;5.0
evden-bi-kosu-iznik,Evden Bi Koşu İznik,2026-07-26,2026-07-26,https://yarisradari.com/yaris/evden-bi-kosu-iznik,10.0
quito-trail-ecuador-by-utmb,Quito Trail Ecuador by UTMB®,2026-07-31,2026-08-02,https://yarisradari.com/yaris/quito-trail-ecuador-by-utmb,76.0;53.0;31.0;20.0;13.0;6.5
gauja-trail-by-utmb,Gauja Trail by UTMB,2026-08-01,2026-08-02,https://yarisradari.com/yaris/gauja-trail-by-utmb,91.0;53.0;21.0;13.5;6.0;1.6
hyrox-istanbul,HYROX Istanbul,2026-08-01,2026-08-01,https://yarisradari.com/yaris/hyrox-istanbul,8.0
konya-ultra-trail,Konya Ultra,2026-08-01,2026-08-01,https://yarisradari.com/yaris/konya-ultra-trail,74.0;55.0;30.0;16.0;5.0
korfez-10k-kiraz-kosusu-ve-spor-festivali,Körfez 10K Kiraz Koşusu ve Spor Festivali,2026-08-02,2026-08-02,https://yarisradari.com/yaris/korfez-10k-kiraz-kosusu-ve-spor-festivali,10.0
kat100-by-utmb,KAT100 by UTMB,2026-08-06,2026-08-08,https://yarisradari.com/yaris/kat100-by-utmb,169.0;75.0;51.0;24.0;8.0
borealys-mont-tremblant-by-utmb,Boréalys Mont-Tremblant by UTMB,2026-08-14,2026-08-16,https://yarisradari.com/yaris/borealys-mont-tremblant-by-utmb,81.0;46.4;26.6;14.5;5.8
bogazici-triatlonu,İstanbul Boğaziçi Triatlonu,2026-08-15,2026-08-16,https://yarisradari.com/yaris/bogazici-triatlonu,52.2
ultra-abant,Ultra Abant,2026-08-15,2026-08-15,https://yarisradari.com/yaris/ultra-abant,60.0;34.0;18.0;6.0
runfire-salt-lake,Runfire Salt Lake Ultra Trail,2026-08-21,2026-08-21,https://yarisradari.com/yaris/runfire-salt-lake,160.9;80.0;40.0;20.0;15.0;10.0
ultra-trail-whistler-by-utmb,Ultra Trail Whistler by UTMB,2026-08-21,2026-08-23,https://yarisradari.com/yaris/ultra-trail-whistler-by-utmb,100.0;50.0;12.0
davraz-sky-run,Davraz Sky Run,2026-08-22,2026-08-22,https://yarisradari.com/yaris/davraz-sky-run,25.0;10.0
bogazici-kitalararasi-yuzme-yarisi,Boğaziçi Kıtalararası Yüzme Yarışı,2026-08-23,2026-08-23,https://yarisradari.com/yaris/bogazici-kitalararasi-yuzme-yarisi,6.5
gomec-ataturk-yol-kosusu,Gömeç Atatürk Yol Koşusu,2026-08-23,,https://yarisradari.com/yaris/gomec-ataturk-yol-kosusu,10.0
gran-fondo-baskent,Gran Fondo Başkent,2026-08-23,2026-08-23,https://yarisradari.com/yaris/gran-fondo-baskent,90.61;56.6
yesilay-yari-maratonu,Yeşilay Yarı Maratonu,2026-08-23,2026-08-23,https://yarisradari.com/yaris/yesilay-yari-maratonu,10.0
